2023-10-25 17:08:10,167 - INFO - {'e': 'aggTrade', 'E': 1698233890540, 's': 'DOGEUSDT', 'a': 389247555, 'p': '0.06587000', 'q': '75007.00000000', 'f': 527287480, 'l': 527287484, 'T': 1698233890539, 'm': False, 'M': True}
2023-10-25 17:08:10,181 - INFO - {'e': 'aggTrade', 'E': 1698233890540, 's': 'DOGEUSDT', 'a': 389247555, 'p': '0.06587000', 'q': '75007.00000000', 'f': 527287480, 'l': 527287484, 'T': 1698233890539, 'm': False, 'M': True}
2023-10-25 17:08:12,226 - INFO - {'e': 'aggTrade', 'E': 1698233893087, 's': 'BTCUSDT', 'a': 2738158730, 'p': '34280.21000000', 'q': '0.00149000', 'f': 3256541267, 'l': 3256541267, 'T': 1698233893086, 'm': False, 'M': True}
2023-10-25 17:08:12,226 - INFO - {'e': 'aggTrade', 'E': 1698233893087, 's': 'BTCUSDT', 'a': 2738158730, 'p': '34280.21000000', 'q': '0.00149000', 'f': 3256541267, 'l': 3256541267, 'T': 1698233893086, 'm': False, 'M': True}
2023-10-25 17:08:14,283 - INFO - {'e': 'aggTrade', 'E': 1698233895137, 's': 'TRXUSDT', 'a': 178839270, 'p': '0.09329000', 'q': '235.30000000', 'f': 254718517, 'l': 254718517, 'T': 1698233895136, 'm': False, 'M': True}
2023-10-25 17:08:14,283 - INFO - {'e': 'aggTrade', 'E': 1698233895137, 's': 'TRXUSDT', 'a': 178839270, 'p': '0.09329000', 'q': '235.30000000', 'f': 254718517, 'l': 254718517, 'T': 1698233895136, 'm': False, 'M': True}
2023-10-25 17:08:16,332 - INFO - {'e': 'aggTrade', 'E': 1698233897124, 's': 'BTCUSDT', 'a': 2738158748, 'p': '34280.20000000', 'q': '0.44471000', 'f': 3256541300, 'l': 3256541301, 'T': 1698233897123, 'm': True, 'M': True}
2023-10-25 17:08:16,332 - INFO - {'e': 'aggTrade', 'E': 1698233897124, 's': 'BTCUSDT', 'a': 2738158748, 'p': '34280.20000000', 'q': '0.44471000', 'f': 3256541300, 'l': 3256541301, 'T': 1698233897123, 'm': True, 'M': True}
2023-10-25 17:08:18,378 - INFO - {'e': 'aggTrade', 'E': 1698233899127, 's': 'XRPUSDT', 'a': 396879275, 'p': '0.55120000', 'q': '1340.00000000', 'f': 559063603, 'l': 559063604, 'T': 1698233899126, 'm': True, 'M': True}
2023-10-25 17:08:18,378 - INFO - {'e': 'aggTrade', 'E': 1698233899127, 's': 'XRPUSDT', 'a': 396879275, 'p': '0.55120000', 'q': '1340.00000000', 'f': 559063603, 'l': 559063604, 'T': 1698233899126, 'm': True, 'M': True}
2023-10-25 17:08:20,441 - INFO - {'e': 'aggTrade', 'E': 1698233901207, 's': 'ETHUSDT', 'a': 947962397, 'p': '1784.97000000', 'q': '0.37500000', 'f': 1216857966, 'l': 1216857966, 'T': 1698233901206, 'm': False, 'M': True}
2023-10-25 17:08:20,442 - INFO - {'e': 'aggTrade', 'E': 1698233901207, 's': 'ETHUSDT', 'a': 947962397, 'p': '1784.97000000', 'q': '0.37500000', 'f': 1216857966, 'l': 1216857966, 'T': 1698233901206, 'm': False, 'M': True}
2023-10-25 17:08:22,497 - INFO - {'e': 'aggTrade', 'E': 1698233903308, 's': 'TRXUSDT', 'a': 178839277, 'p': '0.09328000', 'q': '367.00000000', 'f': 254718536, 'l': 254718538, 'T': 1698233903307, 'm': False, 'M': True}
