2023-11-12 22:45:04,410 - INFO - {'e': 'aggTrade', 'E': 1699809305041, 'a': 1418546306, 's': 'ETHUSDT', 'p': '2052.08', 'q': '0.817', 'f': 3352752020, 'l': 3352752023, 'T': 1699809304888, 'm': False}
2023-11-12 22:45:06,581 - INFO - {'e': 'aggTrade', 'E': 1699809307196, 'a': 1914028883, 's': 'BTCUSDT', 'p': '37140.00', 'q': '0.001', 'f': 4283375246, 'l': 4283375246, 'T': 1699809307043, 'm': False}
2023-11-12 22:45:08,629 - INFO - {'e': 'aggTrade', 'E': 1699809309080, 'a': 1914028892, 's': 'BTCUSDT', 'p': '37139.90', 'q': '0.003', 'f': 4283375257, 'l': 4283375257, 'T': 1699809308927, 'm': True}
2023-11-12 22:45:10,676 - INFO - {'e': 'aggTrade', 'E': 1699809311292, 'a': 1418546366, 's': 'ETHUSDT', 'p': '2052.17', 'q': '0.754', 'f': 3352752201, 'l': 3352752202, 'T': 1699809311175, 'm': True}
2023-11-12 22:45:12,705 - INFO - {'e': 'aggTrade', 'E': 1699809313189, 'a': 1914028903, 's': 'BTCUSDT', 'p': '37140.00', 'q': '0.023', 'f': 4283375292, 'l': 4283375293, 'T': 1699809313037, 'm': False}
2023-11-12 22:45:14,747 - INFO - {'e': 'aggTrade', 'E': 1699809315300, 'a': 1418546386, 's': 'ETHUSDT', 'p': '2052.26', 'q': '0.538', 'f': 3352752256, 'l': 3352752262, 'T': 1699809315146, 'm': False}
2023-11-12 22:45:16,782 - INFO - {'e': 'aggTrade', 'E': 1699809317335, 'a': 1914028913, 's': 'BTCUSDT', 'p': '37140.00', 'q': '0.029', 'f': 4283375303, 'l': 4283375304, 'T': 1699809317181, 'm': False}
2023-11-12 22:45:18,809 - INFO - {'e': 'aggTrade', 'E': 1699809319289, 'a': 1418546413, 's': 'ETHUSDT', 'p': '2052.42', 'q': '0.500', 'f': 3352752323, 'l': 3352752323, 'T': 1699809319137, 'm': True}
2023-11-12 22:45:20,841 - INFO - {'e': 'aggTrade', 'E': 1699809321153, 'a': 386209165, 's': 'XRPUSDT', 'p': '0.6619', 'q': '17.3', 'f': 1311527262, 'l': 1311527262, 'T': 1699809321002, 'm': False}
2023-11-12 22:45:22,859 - INFO - {'e': 'aggTrade', 'E': 1699809323325, 'a': 1418546419, 's': 'ETHUSDT', 'p': '2052.42', 'q': '0.358', 'f': 3352752346, 'l': 3352752346, 'T': 1699809323172, 'm': True}
2023-11-12 22:45:24,909 - INFO - {'e': 'aggTrade', 'E': 1699809325498, 'a': 1418546439, 's': 'ETHUSDT', 'p': '2052.20', 'q': '0.140', 'f': 3352752399, 'l': 3352752400, 'T': 1699809325346, 'm': False}
2023-11-12 22:45:26,958 - INFO - {'e': 'aggTrade', 'E': 1699809327552, 'a': 1418546445, 's': 'ETHUSDT', 'p': '2052.19', 'q': '1.944', 'f': 3352752422, 'l': 3352752422, 'T': 1699809327399, 'm': False}
