2023-11-07 00:13:22,844 - INFO - {'e': '24hrTicker', 'E': 1699296203210, 's': 'BTCUSDT', 'p': '-124.23000000', 'P': '-0.355', 'w': '34996.97691440', 'x': '35030.07000000', 'c': '34905.85000000', 'Q': '0.00100000', 'b': '34905.85000000', 'B': '0.10764000', 'a': '34905.86000000', 'A': '7.04104000', 'o': '35030.08000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25496.28501000', 'q': '892292897.89781240', 'O': 1699209803210, 'C': 1699296203210, 'F': 3269483450, 'L': 3270573308, 'n': 1089859}
2023-11-07 00:13:22,844 - INFO - {'e': '24hrTicker', 'E': 1699296203210, 's': 'BTCUSDT', 'p': '-124.23000000', 'P': '-0.355', 'w': '34996.97691440', 'x': '35030.07000000', 'c': '34905.85000000', 'Q': '0.00100000', 'b': '34905.85000000', 'B': '0.10764000', 'a': '34905.86000000', 'A': '7.04104000', 'o': '35030.08000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25496.28501000', 'q': '892292897.89781240', 'O': 1699209803210, 'C': 1699296203210, 'F': 3269483450, 'L': 3270573308, 'n': 1089859}
2023-11-07 00:13:24,881 - INFO - {'e': '24hrTicker', 'E': 1699296205221, 's': 'BTCUSDT', 'p': '-124.23000000', 'P': '-0.355', 'w': '34996.97552635', 'x': '35030.08000000', 'c': '34905.85000000', 'Q': '0.00626000', 'b': '34905.85000000', 'B': '0.09643000', 'a': '34905.86000000', 'A': '6.71573000', 'o': '35030.08000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25496.35654000', 'q': '892295365.84138860', 'O': 1699209805221, 'C': 1699296205221, 'F': 3269483455, 'L': 3270573315, 'n': 1089861}
2023-11-07 00:13:24,881 - INFO - {'e': '24hrTicker', 'E': 1699296205221, 's': 'BTCUSDT', 'p': '-124.23000000', 'P': '-0.355', 'w': '34996.97552635', 'x': '35030.08000000', 'c': '34905.85000000', 'Q': '0.00626000', 'b': '34905.85000000', 'B': '0.09643000', 'a': '34905.86000000', 'A': '6.71573000', 'o': '35030.08000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25496.35654000', 'q': '892295365.84138860', 'O': 1699209805221, 'C': 1699296205221, 'F': 3269483455, 'L': 3270573315, 'n': 1089861}
2023-11-07 00:13:26,908 - INFO - {'e': '24hrTicker', 'E': 1699296207265, 's': 'BTCUSDT', 'p': '-124.22000000', 'P': '-0.355', 'w': '34996.97538429', 'x': '35030.08000000', 'c': '34905.85000000', 'Q': '0.03355000', 'b': '34905.85000000', 'B': '2.49143000', 'a': '34905.86000000', 'A': '0.87837000', 'o': '35030.07000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25496.39450000', 'q': '892296690.70477050', 'O': 1699209807264, 'C': 1699296207264, 'F': 3269483456, 'L': 3270573318, 'n': 1089863}
2023-11-07 00:13:26,908 - INFO - {'e': '24hrTicker', 'E': 1699296207265, 's': 'BTCUSDT', 'p': '-124.22000000', 'P': '-0.355', 'w': '34996.97538429', 'x': '35030.08000000', 'c': '34905.85000000', 'Q': '0.03355000', 'b': '34905.85000000', 'B': '2.49143000', 'a': '34905.86000000', 'A': '0.87837000', 'o': '35030.07000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25496.39450000', 'q': '892296690.70477050', 'O': 1699209807264, 'C': 1699296207264, 'F': 3269483456, 'L': 3270573318, 'n': 1089863}
2023-11-07 00:13:28,970 - INFO - {'e': '24hrTicker', 'E': 1699296208883, 's': 'BTCUSDT', 'p': '-124.21000000', 'P': '-0.355', 'w': '34996.97532606', 'x': '35030.07000000', 'c': '34905.86000000', 'Q': '0.00503000', 'b': '34905.85000000', 'B': '2.79319000', 'a': '34905.86000000', 'A': '0.95177000', 'o': '35030.07000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25496.40537000', 'q': '892297069.63708020', 'O': 1699209808882, 'C': 1699296208882, 'F': 3269483459, 'L': 3270573325, 'n': 1089867}
2023-11-07 00:13:28,970 - INFO - {'e': '24hrTicker', 'E': 1699296208883, 's': 'BTCUSDT', 'p': '-124.21000000', 'P': '-0.355', 'w': '34996.97532606', 'x': '35030.07000000', 'c': '34905.86000000', 'Q': '0.00503000', 'b': '34905.85000000', 'B': '2.79319000', 'a': '34905.86000000', 'A': '0.95177000', 'o': '35030.07000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25496.40537000', 'q': '892297069.63708020', 'O': 1699209808882, 'C': 1699296208882, 'F': 3269483459, 'L': 3270573325, 'n': 1089867}
2023-11-07 00:13:31,032 - INFO - {'e': '24hrTicker', 'E': 1699296211178, 's': 'BTCUSDT', 'p': '-124.22000000', 'P': '-0.355', 'w': '34996.97296683', 'x': '35030.08000000', 'c': '34905.85000000', 'Q': '0.00267000', 'b': '34905.85000000', 'B': '3.07102000', 'a': '34905.86000000', 'A': '0.55246000', 'o': '35030.07000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25497.04041000', 'q': '892319233.96291900', 'O': 1699209811177, 'C': 1699296211177, 'F': 3269483463, 'L': 3270573365, 'n': 1089903}
2023-11-07 00:13:31,032 - INFO - {'e': '24hrTicker', 'E': 1699296211178, 's': 'BTCUSDT', 'p': '-124.22000000', 'P': '-0.355', 'w': '34996.97296683', 'x': '35030.08000000', 'c': '34905.85000000', 'Q': '0.00267000', 'b': '34905.85000000', 'B': '3.07102000', 'a': '34905.86000000', 'A': '0.55246000', 'o': '35030.07000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25497.04041000', 'q': '892319233.96291900', 'O': 1699209811177, 'C': 1699296211177, 'F': 3269483463, 'L': 3270573365, 'n': 1089903}
2023-11-07 00:13:33,079 - INFO - {'e': '24hrTicker', 'E': 1699296213015, 's': 'BTCUSDT', 'p': '-124.22000000', 'P': '-0.355', 'w': '34996.97284134', 'x': '35030.07000000', 'c': '34905.85000000', 'Q': '0.00481000', 'b': '34905.85000000', 'B': '3.06486000', 'a': '34905.86000000', 'A': '0.54686000', 'o': '35030.07000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25497.06597000', 'q': '892320125.28585620', 'O': 1699209813015, 'C': 1699296213015, 'F': 3269483467, 'L': 3270573375, 'n': 1089909}
2023-11-07 00:13:33,079 - INFO - {'e': '24hrTicker', 'E': 1699296213015, 's': 'BTCUSDT', 'p': '-124.22000000', 'P': '-0.355', 'w': '34996.97284134', 'x': '35030.07000000', 'c': '34905.85000000', 'Q': '0.00481000', 'b': '34905.85000000', 'B': '3.06486000', 'a': '34905.86000000', 'A': '0.54686000', 'o': '35030.07000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25497.06597000', 'q': '892320125.28585620', 'O': 1699209813015, 'C': 1699296213015, 'F': 3269483467, 'L': 3270573375, 'n': 1089909}
2023-11-07 00:13:35,126 - INFO - {'e': '24hrTicker', 'E': 1699296215221, 's': 'BTCUSDT', 'p': '-119.55000000', 'P': '-0.341', 'w': '34996.97089405', 'x': '35025.39000000', 'c': '34905.85000000', 'Q': '0.05762000', 'b': '34905.85000000', 'B': '3.11782000', 'a': '34905.86000000', 'A': '0.82530000', 'o': '35025.40000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25495.77996000', 'q': '892275069.18116040', 'O': 1699209815220, 'C': 1699296215220, 'F': 3269483526, 'L': 3270573384, 'n': 1089859}
2023-11-07 00:13:35,126 - INFO - {'e': '24hrTicker', 'E': 1699296215221, 's': 'BTCUSDT', 'p': '-119.55000000', 'P': '-0.341', 'w': '34996.97089405', 'x': '35025.39000000', 'c': '34905.85000000', 'Q': '0.05762000', 'b': '34905.85000000', 'B': '3.11782000', 'a': '34905.86000000', 'A': '0.82530000', 'o': '35025.40000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25495.77996000', 'q': '892275069.18116040', 'O': 1699209815220, 'C': 1699296215220, 'F': 3269483526, 'L': 3270573384, 'n': 1089859}
2023-11-07 00:13:37,179 - INFO - {'e': '24hrTicker', 'E': 1699296216482, 's': 'BTCUSDT', 'p': '-119.55000000', 'P': '-0.341', 'w': '34996.97086624', 'x': '35025.40000000', 'c': '34905.85000000', 'Q': '0.00428000', 'b': '34905.85000000', 'B': '3.11336000', 'a': '34905.86000000', 'A': '0.82328000', 'o': '35025.40000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25495.78269000', 'q': '892275164.01388350', 'O': 1699209816482, 'C': 1699296216482, 'F': 3269483527, 'L': 3270573387, 'n': 1089861}
2023-11-07 00:13:37,179 - INFO - {'e': '24hrTicker', 'E': 1699296216482, 's': 'BTCUSDT', 'p': '-119.55000000', 'P': '-0.341', 'w': '34996.97086624', 'x': '35025.40000000', 'c': '34905.85000000', 'Q': '0.00428000', 'b': '34905.85000000', 'B': '3.11336000', 'a': '34905.86000000', 'A': '0.82328000', 'o': '35025.40000000', 'h': '35380.00000000', 'l': '34448.00000000', 'v': '25495.78269000', 'q': '892275164.01388350', 'O': 1699209816482, 'C': 1699296216482, 'F': 3269483527, 'L': 3270573387, 'n': 1089861}
