2023-11-09 20:52:19,577 - ERROR - Exception Occured HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /ltm (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018FAA693410>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2023-11-09 20:52:19,578 - ERROR - No data available
2023-11-09 20:52:23,632 - ERROR - Exception Occured HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /ltm (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018FAA6A5650>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2023-11-09 20:52:23,632 - ERROR - No data available
2023-11-09 20:52:27,682 - ERROR - Exception Occured HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /ltm (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018FAA6A78D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2023-11-09 20:52:27,682 - ERROR - No data available
2023-11-09 20:52:31,722 - ERROR - Exception Occured HTTPConnectionPool(host='localhost', port=5000): Max retries exceeded with url: /ltm (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000018FAA6B5890>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2023-11-09 20:52:31,723 - ERROR - No data available
2023-11-09 20:52:33,785 - ERROR - Exception Occured Expecting value: line 1 column 1 (char 0)
2023-11-09 20:52:33,785 - ERROR - No data available
2023-11-09 20:52:35,823 - INFO - {'e': 'aggTrade', 'E': 1699543356508, 's': 'BTCUSDT', 'a': 2751806003, 'p': '37588.85000000', 'q': '0.00907000', 'f': 3274449455, 'l': 3274449455, 'T': 1699543356507, 'm': True, 'M': True}
2023-11-09 20:52:37,855 - INFO - {'e': 'aggTrade', 'E': 1699543358559, 's': 'ETHUSDT', 'a': 955173779, 'p': '2036.72000000', 'q': '0.43600000', 'f': 1227025834, 'l': 1227025834, 'T': 1699543358558, 'm': False, 'M': True}
2023-11-09 20:52:39,886 - INFO - {'e': 'aggTrade', 'E': 1699543360575, 's': 'XRPUSDT', 'a': 399206717, 'p': '0.69750000', 'q': '1000.00000000', 'f': 563609796, 'l': 563609796, 'T': 1699543360575, 'm': False, 'M': True}
2023-11-09 20:52:41,918 - INFO - {'e': 'aggTrade', 'E': 1699543362652, 's': 'ETHUSDT', 'a': 955173896, 'p': '2037.72000000', 'q': '0.00390000', 'f': 1227026011, 'l': 1227026011, 'T': 1699543362652, 'm': False, 'M': True}
2023-11-09 20:52:43,956 - INFO - {'e': 'aggTrade', 'E': 1699543364606, 's': 'BTCUSDT', 'a': 2751806204, 'p': '37595.20000000', 'q': '0.00017000', 'f': 3274449715, 'l': 3274449715, 'T': 1699543364605, 'm': True, 'M': True}
2023-11-09 20:52:45,985 - INFO - {'e': 'aggTrade', 'E': 1699543366669, 's': 'ETHUSDT', 'a': 955174010, 'p': '2037.35000000', 'q': '0.73820000', 'f': 1227026164, 'l': 1227026164, 'T': 1699543366668, 'm': True, 'M': True}
2023-11-09 20:52:48,018 - INFO - {'e': 'aggTrade', 'E': 1699543368724, 's': 'ETHUSDT', 'a': 955174063, 'p': '2037.77000000', 'q': '0.17570000', 'f': 1227026223, 'l': 1227026223, 'T': 1699543368723, 'm': True, 'M': True}
2023-11-09 20:52:50,050 - INFO - {'e': 'aggTrade', 'E': 1699543370760, 's': 'ETHUSDT', 'a': 955174103, 'p': '2037.61000000', 'q': '0.00490000', 'f': 1227026279, 'l': 1227026279, 'T': 1699543370760, 'm': True, 'M': True}
2023-11-09 20:52:52,083 - INFO - {'e': 'aggTrade', 'E': 1699543372796, 's': 'BTCUSDT', 'a': 2751806365, 'p': '37590.74000000', 'q': '0.00078000', 'f': 3274449919, 'l': 3274449919, 'T': 1699543372795, 'm': True, 'M': True}
2023-11-09 20:52:54,130 - INFO - {'e': 'aggTrade', 'E': 1699543374857, 's': 'XRPUSDT', 'a': 399206804, 'p': '0.69670000', 'q': '64.00000000', 'f': 563609970, 'l': 563609970, 'T': 1699543374856, 'm': False, 'M': True}
2023-11-09 20:52:56,164 - INFO - {'e': 'aggTrade', 'E': 1699543376898, 's': 'ETHUSDT', 'a': 955174338, 'p': '2035.96000000', 'q': '0.61360000', 'f': 1227026557, 'l': 1227026557, 'T': 1699543376897, 'm': True, 'M': True}
2023-11-09 20:52:58,200 - INFO - {'e': 'aggTrade', 'E': 1699543378898, 's': 'BTCUSDT', 'a': 2751806697, 'p': '37572.26000000', 'q': '0.00079000', 'f': 3274450334, 'l': 3274450334, 'T': 1699543378897, 'm': False, 'M': True}
2023-11-09 20:53:00,232 - INFO - {'e': 'aggTrade', 'E': 1699543380917, 's': 'BTCUSDT', 'a': 2751806801, 'p': '37567.75000000', 'q': '0.35137000', 'f': 3274450446, 'l': 3274450446, 'T': 1699543380917, 'm': True, 'M': True}
2023-11-09 20:53:02,265 - INFO - {'e': 'aggTrade', 'E': 1699543382977, 's': 'BTCUSDT', 'a': 2751806847, 'p': '37571.05000000', 'q': '0.00213000', 'f': 3274450531, 'l': 3274450531, 'T': 1699543382976, 'm': False, 'M': True}
2023-11-09 20:53:04,301 - INFO - {'e': 'aggTrade', 'E': 1699543385013, 's': 'XRPUSDT', 'a': 399206898, 'p': '0.69670000', 'q': '38.00000000', 'f': 563610186, 'l': 563610186, 'T': 1699543385012, 'm': False, 'M': True}
2023-11-09 20:53:06,331 - INFO - {'e': 'aggTrade', 'E': 1699543387009, 's': 'XRPUSDT', 'a': 399206914, 'p': '0.69670000', 'q': '635.00000000', 'f': 563610206, 'l': 563610206, 'T': 1699543387008, 'm': False, 'M': True}
2023-11-09 20:53:08,394 - INFO - {'e': 'aggTrade', 'E': 1699543389123, 's': 'ETHUSDT', 'a': 955174737, 'p': '2037.23000000', 'q': '0.49000000', 'f': 1227027058, 'l': 1227027058, 'T': 1699543389122, 'm': False, 'M': True}
2023-11-09 20:53:10,427 - INFO - {'e': 'aggTrade', 'E': 1699543391146, 's': 'BTCUSDT', 'a': 2751807354, 'p': '37542.04000000', 'q': '0.00358000', 'f': 3274451269, 'l': 3274451269, 'T': 1699543391145, 'm': False, 'M': True}
2023-11-09 20:53:12,461 - INFO - {'e': 'aggTrade', 'E': 1699543393028, 's': 'BTCUSDT', 'a': 2751807623, 'p': '37541.71000000', 'q': '0.00399000', 'f': 3274451637, 'l': 3274451637, 'T': 1699543393020, 'm': True, 'M': True}
2023-11-09 20:53:14,508 - INFO - {'e': 'aggTrade', 'E': 1699543395207, 's': 'BTCUSDT', 'a': 2751807703, 'p': '37541.95000000', 'q': '0.00100000', 'f': 3274451747, 'l': 3274451747, 'T': 1699543395206, 'm': True, 'M': True}
2023-11-09 20:53:16,543 - INFO - {'e': 'aggTrade', 'E': 1699543397248, 's': 'ETHUSDT', 'a': 955175044, 'p': '2038.47000000', 'q': '0.34000000', 'f': 1227027471, 'l': 1227027471, 'T': 1699543397248, 'm': False, 'M': True}
2023-11-09 20:53:18,575 - INFO - {'e': 'aggTrade', 'E': 1699543399292, 's': 'BTCUSDT', 'a': 2751807910, 'p': '37573.75000000', 'q': '0.00045000', 'f': 3274451987, 'l': 3274451987, 'T': 1699543399291, 'm': True, 'M': True}
2023-11-09 20:53:20,610 - INFO - {'e': 'aggTrade', 'E': 1699543401312, 's': 'BTCUSDT', 'a': 2751807957, 'p': '37571.10000000', 'q': '0.00058000', 'f': 3274452038, 'l': 3274452038, 'T': 1699543401311, 'm': False, 'M': True}
2023-11-09 20:53:22,648 - INFO - {'e': 'aggTrade', 'E': 1699543403374, 's': 'XRPUSDT', 'a': 399207153, 'p': '0.69630000', 'q': '821.00000000', 'f': 563610764, 'l': 563610764, 'T': 1699543403374, 'm': True, 'M': True}
2023-11-09 20:53:24,741 - INFO - {'e': 'aggTrade', 'E': 1699543405431, 's': 'BTCUSDT', 'a': 2751808086, 'p': '37554.03000000', 'q': '0.01327000', 'f': 3274452203, 'l': 3274452203, 'T': 1699543405428, 'm': False, 'M': True}
2023-11-09 20:53:26,773 - INFO - {'e': 'aggTrade', 'E': 1699543407436, 's': 'BTCUSDT', 'a': 2751808196, 'p': '37537.51000000', 'q': '0.00050000', 'f': 3274452336, 'l': 3274452336, 'T': 1699543407435, 'm': False, 'M': True}
2023-11-09 20:53:28,805 - INFO - {'e': 'aggTrade', 'E': 1699543409491, 's': 'ETHUSDT', 'a': 955175563, 'p': '2038.82000000', 'q': '0.43500000', 'f': 1227028165, 'l': 1227028165, 'T': 1699543409490, 'm': False, 'M': True}
2023-11-09 20:53:30,839 - INFO - {'e': 'aggTrade', 'E': 1699543411557, 's': 'BTCUSDT', 'a': 2751808358, 'p': '37554.74000000', 'q': '0.01342000', 'f': 3274452542, 'l': 3274452542, 'T': 1699543411556, 'm': False, 'M': True}
2023-11-09 20:53:32,890 - INFO - {'e': 'aggTrade', 'E': 1699543413621, 's': 'ETHUSDT', 'a': 955175706, 'p': '2037.93000000', 'q': '4.66500000', 'f': 1227028353, 'l': 1227028355, 'T': 1699543413621, 'm': True, 'M': True}
2023-11-09 20:53:34,908 - INFO - {'e': 'aggTrade', 'E': 1699543415547, 's': 'BTCUSDT', 'a': 2751808447, 'p': '37543.72000000', 'q': '0.01000000', 'f': 3274452655, 'l': 3274452655, 'T': 1699543415546, 'm': True, 'M': True}
2023-11-09 20:53:36,941 - INFO - {'e': 'aggTrade', 'E': 1699543417666, 's': 'ETHUSDT', 'a': 955175808, 'p': '2036.25000000', 'q': '0.00080000', 'f': 1227028487, 'l': 1227028487, 'T': 1699543417666, 'm': True, 'M': True}
2023-11-09 20:53:38,974 - INFO - {'e': 'aggTrade', 'E': 1699543419634, 's': 'BTCUSDT', 'a': 2751808553, 'p': '37543.74000000', 'q': '0.00208000', 'f': 3274452787, 'l': 3274452787, 'T': 1699543419633, 'm': True, 'M': True}
