2023-11-15_13-08-31-+0000 {"e":"aggTrade","E":1700053710434,"a":1421458384,"s":"ETHUSDT","p":"2017.30","q":"24.784","f":3361695087,"l":3361695090,"T":1700053710281,"m":false}
2023-11-15_13-08-31-+0000 {"e":"aggTrade","E":1700053710684,"a":1421458385,"s":"ETHUSDT","p":"2017.29","q":"2.848","f":3361695091,"l":3361695100,"T":1700053710682,"m":true}
2023-11-15_13-08-31-+0000 {"e":"aggTrade","E":1700053710684,"a":1421458386,"s":"ETHUSDT","p":"2017.28","q":"0.010","f":3361695101,"l":3361695101,"T":1700053710682,"m":true}
2023-11-15_13-08-31-+0000 {"e":"aggTrade","E":1700053710835,"a":1421458387,"s":"ETHUSDT","p":"2017.25","q":"2.246","f":3361695102,"l":3361695102,"T":1700053710682,"m":true}
2023-11-15_13-08-31-+0000 {"e":"aggTrade","E":1700053710958,"a":1421458388,"s":"ETHUSDT","p":"2017.25","q":"3.127","f":3361695103,"l":3361695106,"T":1700053710956,"m":true}
2023-11-15_13-08-31-+0000 {"e":"aggTrade","E":1700053711005,"a":1421458389,"s":"ETHUSDT","p":"2017.24","q":"0.137","f":3361695107,"l":3361695109,"T":1700053710956,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711138,"a":1421458390,"s":"ETHUSDT","p":"2017.21","q":"0.235","f":3361695110,"l":3361695111,"T":1700053711002,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711138,"a":1421458391,"s":"ETHUSDT","p":"2017.21","q":"0.270","f":3361695112,"l":3361695114,"T":1700053711135,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711138,"a":1421458392,"s":"ETHUSDT","p":"2017.20","q":"0.025","f":3361695115,"l":3361695116,"T":1700053711135,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711138,"a":1421458393,"s":"ETHUSDT","p":"2017.19","q":"0.433","f":3361695117,"l":3361695119,"T":1700053711136,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711138,"a":1421458394,"s":"ETHUSDT","p":"2017.18","q":"0.281","f":3361695120,"l":3361695121,"T":1700053711136,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711138,"a":1421458395,"s":"ETHUSDT","p":"2017.16","q":"0.026","f":3361695122,"l":3361695123,"T":1700053711136,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711289,"a":1421458396,"s":"ETHUSDT","p":"2017.12","q":"1.068","f":3361695124,"l":3361695125,"T":1700053711136,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711341,"a":1421458397,"s":"ETHUSDT","p":"2017.12","q":"2.442","f":3361695126,"l":3361695129,"T":1700053711339,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711341,"a":1421458398,"s":"ETHUSDT","p":"2017.11","q":"0.031","f":3361695130,"l":3361695131,"T":1700053711339,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711341,"a":1421458399,"s":"ETHUSDT","p":"2017.10","q":"0.013","f":3361695132,"l":3361695132,"T":1700053711339,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711341,"a":1421458400,"s":"ETHUSDT","p":"2017.08","q":"0.015","f":3361695133,"l":3361695133,"T":1700053711339,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711341,"a":1421458401,"s":"ETHUSDT","p":"2017.06","q":"6.787","f":3361695134,"l":3361695136,"T":1700053711339,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711367,"a":1421458402,"s":"ETHUSDT","p":"2017.05","q":"3.088","f":3361695137,"l":3361695137,"T":1700053711339,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711518,"a":1421458403,"s":"ETHUSDT","p":"2017.05","q":"0.602","f":3361695138,"l":3361695140,"T":1700053711366,"m":false}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711589,"a":1421458404,"s":"ETHUSDT","p":"2017.04","q":"6.493","f":3361695141,"l":3361695148,"T":1700053711582,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711589,"a":1421458405,"s":"ETHUSDT","p":"2017.03","q":"0.011","f":3361695149,"l":3361695149,"T":1700053711587,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711589,"a":1421458406,"s":"ETHUSDT","p":"2017.01","q":"0.020","f":3361695150,"l":3361695150,"T":1700053711587,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711589,"a":1421458407,"s":"ETHUSDT","p":"2017.00","q":"1.692","f":3361695151,"l":3361695158,"T":1700053711587,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711589,"a":1421458408,"s":"ETHUSDT","p":"2016.99","q":"0.080","f":3361695159,"l":3361695160,"T":1700053711587,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711643,"a":1916835813,"s":"BTCUSDT","p":"36180.00","q":"1.326","f":4291587334,"l":4291587343,"T":1700053711606,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711646,"a":1421458412,"s":"ETHUSDT","p":"2016.95","q":"0.380","f":3361695166,"l":3361695166,"T":1700053711587,"m":false}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711646,"a":1421458413,"s":"ETHUSDT","p":"2016.94","q":"0.882","f":3361695167,"l":3361695169,"T":1700053711644,"m":true}
2023-11-15_13-08-32-+0000 {"e":"aggTrade","E":1700053711797,"a":1421458414,"s":"ETHUSDT","p":"2016.92","q":"1.022","f":3361695170,"l":3361695174,"T":1700053711644,"m":true}
